,RHY,RHR,RHP,RKN,RAP,RAR,LHY,LHR,LHP,LKN,LAP,LAR,RSP,RSR,RSY,REB,RWY,RWR,RWP,LSP,LSR,LSY,LEB,LWY,LWR,LWP,NKY,NK1,NK2,WST,RF1,RF2,RF3,RF4,RF5,LF1,LF2,LF3,LF4,LF5
,,,-0.446869,+0.321375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.447292,+0.318750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.447716,+0.316125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.448140,+0.313500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.448563,+0.310875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.448987,+0.308250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.449410,+0.305625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.449834,+0.303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.450258,+0.300375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.450681,+0.297750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.451105,+0.295125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.451528,+0.292500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.451952,+0.289875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.452375,+0.287250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.452799,+0.284625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.453223,+0.282000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.453646,+0.279375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.454070,+0.276750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.454493,+0.274125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.454917,+0.271500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.455341,+0.268875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.455764,+0.266250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.456188,+0.263625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.456611,+0.261000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.457035,+0.258375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.457458,+0.255750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.457882,+0.253125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.458306,+0.250500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.458729,+0.247875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.459153,+0.245250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.459576,+0.242625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+1.000000,,,-0.460000,+0.240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.462100,+0.241700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.464200,+0.243400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.466300,+0.245100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.468400,+0.246800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.470500,+0.248500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.472600,+0.250200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.474700,+0.251900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.476800,+0.253600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.478900,+0.255300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.481000,+0.257000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.483100,+0.258700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.485200,+0.260400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.487300,+0.262100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.489400,+0.263800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.491500,+0.265500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.493600,+0.267200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.495700,+0.268900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.497800,+0.270600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.499900,+0.272300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.502000,+0.274000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.504100,+0.275700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.506200,+0.277400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.508300,+0.279100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.510400,+0.280800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.512500,+0.282500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.514600,+0.284200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.516700,+0.285900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.518800,+0.287600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.520900,+0.289300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.523000,+0.291000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.525100,+0.292700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.527200,+0.294400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
